user_id,clicks_per_min,avg_session_time_min,bookings_last_hour,ip_entropy,is_fraud
1,3,9.386035420714645,0,0.840073566621334,0
2,4,9.084532468832425,1,0.8904184387962559,0
3,5,11.354119844380564,1,0.8569630853247421,0
4,2,4.631234634593973,0,0.9069716104669838,0
5,3,5.113418609329228,1,0.7535272055493164,0
6,4,13.38602595260588,0,0.7722747847701672,0
7,3,11.822651847358205,0,0.9157699982889597,0
8,3,3.579766041623806,1,0.8607674852336998,0
9,2,9.857581540510587,0,0.6300523678592967,0
10,1,4.238044141375895,0,0.8673776223263115,0
11,1,6.1770439247219775,1,0.8961285060015711,0
12,2,12.40479551798659,1,0.9149429523281531,0
13,1,15.060825499929527,0,0.8928791020697255,0
14,5,6.837557103922666,1,0.8846492512434805,0
15,5,16.061410202711052,1,0.6821297910662957,0
16,4,12.524442695654706,1,0.7149269355564825,0
17,2,10.349483474425917,1,0.844468220670461,0
18,1,13.660332561226788,0,0.985477243201904,0
19,3,14.40504192986237,0,0.8813382233331383,0
20,1,11.510982122405878,0,0.6520571159906,0
21,3,8.421488788764579,1,0.8829601958491327,0
22,2,9.51920073522632,0,0.8450937108736527,0
23,3,17.5827793067887,0,0.8955116131554147,0
24,2,16.024907978179684,1,0.714916702616384,0
25,4,15.037039486763224,0,0.8137720792719797,0
26,2,10.666383939323257,0,0.7788283006550782,0
27,2,5.192925677477259,1,0.7029101311293511,0
28,3,10.66888257593256,0,0.9808452869994215,0
29,5,9.232348760035272,1,0.9343455234572391,0
30,2,10.407655239116693,1,0.8207849354359179,0
31,3,8.818070014075719,1,0.7766959298235905,0
32,5,18.20598969801594,1,0.6549801650320404,0
33,1,10.001709547215661,0,0.9666897724527849,0
34,2,3.041511690835442,1,0.7500932644762887,0
35,4,4.123911473729006,0,0.9880960221987761,0
36,1,8.67824784842187,0,0.6523113453178483,0
37,1,12.145773196076311,0,0.6137673854284927,0
38,3,13.195016443274085,0,0.9625893136368167,0
39,4,8.767346464493654,1,0.693638370601085,0
40,5,6.47060973818884,1,0.9202855461208819,0
41,5,7.221055242298722,1,0.9409649007987514,0
42,4,15.991435829536542,0,0.6570239971354196,0
43,5,12.931113453710116,0,0.9373513189852909,0
44,4,17.18434494611666,0,0.7741311224501586,0
45,3,17.925752668697882,1,0.7559279303876515,0
46,4,10.436380223046108,0,0.8715306673557095,0
47,4,14.67264188848105,0,0.9793068655943127,0
48,4,16.64013588863734,1,0.9991793032162156,0
49,1,8.43074039988629,1,0.8083967662216213,0
50,5,6.537839563285107,0,0.8459466514843884,0
51,4,12.785372690066769,0,0.8812563800443554,0
52,3,4.73560283380963,1,0.909596001271157,0
53,3,18.1443551295414,0,0.6445428518026115,0
54,4,14.197440583593133,1,0.9962336975908457,0
55,2,6.186818263045017,0,0.768153725446078,0
56,5,8.73500003697467,0,0.8614138893088742,0
57,1,11.180542097152275,0,0.7854421235479147,0
58,5,19.19671914617103,1,0.6914796361961411,0
59,1,18.564132162746997,1,0.8581113315935003,0
60,2,7.969027494236556,1,0.9646833477520705,0
61,1,16.577902289594782,1,0.8966619598455796,0
62,4,14.458703512426348,0,0.6078350568882397,0
63,3,18.712145926727793,1,0.7680699699075136,0
