user_id,dest_id,action,time
1,7034c2a1-23a7-4da3-97e6-f6b9a7a886dd,view,2025-12-03 05:59:29.398744
1,7c623237-bc71-4ba0-ae74-a64b0201eeba,click,2025-12-02 21:21:29.398744
1,b53ea9ad-2c8b-4467-9764-1edb3b922ea4,book,2025-12-28 12:36:29.398744
1,14f66152-9e1f-49a6-af54-b5c594fb958f,book,2025-12-13 04:00:29.398744
1,6b93d8e6-ab6a-4a5e-91f8-f42198c06d01,click,2025-12-13 07:35:29.398744
1,9a4f8eec-e269-42bb-96bd-4c0e0a82df57,view,2025-12-02 01:01:29.398744
1,b5e5c850-d1b7-4e4e-a033-6d3ca99ec5f2,book,2025-12-01 20:09:29.398744
1,bbbaa3f2-5a06-4e14-9626-0ec02a43b129,click,2025-12-11 00:37:29.398744
1,184fc244-2725-4a56-894d-bbb80ef207e7,view,2025-12-30 06:03:29.398744
1,472a370a-f213-4bdd-bef7-e00aa2eb2ca4,book,2025-12-17 23:20:29.398744
1,51be0fb4-70bd-42c9-90d2-1f3d18ac005c,book,2025-12-30 17:24:29.398744
1,e3597f71-7e84-47f9-b3f2-567398c8fcdd,click,2025-12-02 08:51:29.398744
1,1d32dfff-864b-4298-8be7-1f9714936244,view,2025-12-20 19:40:29.398744
1,778d28df-a4fa-4328-896e-4a9f80216fda,book,2025-12-25 00:33:29.398744
1,d2351990-8009-44cd-9fdb-e79f1fd913f4,view,2025-12-18 23:28:29.398744
1,7953a021-a4c4-4fbf-b5a8-92467f8280ed,book,2025-12-26 21:24:29.398744
1,c4d01836-2731-498c-afa0-164e08df33be,book,2025-12-24 23:36:29.398744
1,26bd92cc-1bd7-46bc-a132-9c227115194a,click,2025-12-11 03:50:29.398744
1,2f634211-0161-41dc-b871-3d405b1b3975,click,2025-12-29 18:37:29.398744
1,87be4d07-b23b-4477-a76e-a6649b328789,click,2025-12-21 01:21:29.398744
1,b636143f-615e-4232-a3a6-f11bc6ee93df,click,2025-12-29 22:18:29.398744
1,43b173aa-a4f5-4676-9434-bacadf6d49ff,view,2025-12-18 14:38:29.398744
1,8a01ffff-5a20-4ddb-af63-f82c9fa0e277,book,2025-12-06 09:30:29.398744
1,6c222aca-bad0-4114-a0f8-d271510a86a0,click,2025-12-26 10:57:29.398744
1,5eb2414d-ccc4-4665-b86a-f463c43a9c1b,book,2025-12-28 07:46:29.398744
2,7034c2a1-23a7-4da3-97e6-f6b9a7a886dd,view,2025-12-30 01:06:29.398744
2,7c623237-bc71-4ba0-ae74-a64b0201eeba,click,2025-12-02 11:56:29.398744
2,b53ea9ad-2c8b-4467-9764-1edb3b922ea4,book,2025-12-04 23:43:29.398744
2,14f66152-9e1f-49a6-af54-b5c594fb958f,click,2025-12-11 05:44:29.398744
2,6b93d8e6-ab6a-4a5e-91f8-f42198c06d01,view,2025-12-16 08:29:29.398744
2,9a4f8eec-e269-42bb-96bd-4c0e0a82df57,click,2025-12-10 12:14:29.398744
2,b5e5c850-d1b7-4e4e-a033-6d3ca99ec5f2,book,2025-12-21 06:05:29.398744
2,bbbaa3f2-5a06-4e14-9626-0ec02a43b129,click,2025-12-02 18:32:29.398744
2,184fc244-2725-4a56-894d-bbb80ef207e7,click,2025-12-12 18:21:29.398744
2,472a370a-f213-4bdd-bef7-e00aa2eb2ca4,book,2025-12-08 22:35:29.398744
2,51be0fb4-70bd-42c9-90d2-1f3d18ac005c,book,2025-12-24 09:02:29.398744
2,e3597f71-7e84-47f9-b3f2-567398c8fcdd,click,2025-12-30 18:54:29.398744
2,1d32dfff-864b-4298-8be7-1f9714936244,view,2025-12-04 23:43:29.398744
2,778d28df-a4fa-4328-896e-4a9f80216fda,view,2025-12-06 08:43:29.398744
2,d2351990-8009-44cd-9fdb-e79f1fd913f4,book,2025-12-17 11:34:29.398744
2,7953a021-a4c4-4fbf-b5a8-92467f8280ed,click,2025-12-23 21:32:29.398744
2,c4d01836-2731-498c-afa0-164e08df33be,book,2025-12-27 12:07:29.398744
2,26bd92cc-1bd7-46bc-a132-9c227115194a,book,2025-12-17 23:46:29.398744
2,2f634211-0161-41dc-b871-3d405b1b3975,click,2025-12-24 17:28:29.398744
2,87be4d07-b23b-4477-a76e-a6649b328789,click,2025-12-30 20:16:29.398744
2,b636143f-615e-4232-a3a6-f11bc6ee93df,book,2025-12-17 15:12:29.398744
2,43b173aa-a4f5-4676-9434-bacadf6d49ff,click,2025-12-07 17:15:29.398744
2,8a01ffff-5a20-4ddb-af63-f82c9fa0e277,book,2025-12-19 13:52:29.398744
2,6c222aca-bad0-4114-a0f8-d271510a86a0,click,2025-12-12 07:12:29.398744
2,5eb2414d-ccc4-4665-b86a-f463c43a9c1b,click,2025-12-16 06:09:29.398744
3,7034c2a1-23a7-4da3-97e6-f6b9a7a886dd,click,2025-12-06 23:29:29.398744
3,7c623237-bc71-4ba0-ae74-a64b0201eeba,book,2025-12-02 16:00:29.398744
3,b53ea9ad-2c8b-4467-9764-1edb3b922ea4,book,2025-12-14 15:39:29.398744
